id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,satuan,tahun
212,32,JAWA BARAT,3275,KOTA BEKASI,84.05,POIN,2017
213,32,JAWA BARAT,3276,KOTA DEPOK,83.14,POIN,2017
214,32,JAWA BARAT,3277,KOTA CIMAHI,82.48,POIN,2017
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,79.2,POIN,2017
216,32,JAWA BARAT,3279,KOTA BANJAR,77.52,POIN,2017
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,78.25,POIN,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,77.68,POIN,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,76.46,POIN,2018
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.94,POIN,2018
221,32,JAWA BARAT,3205,KABUPATEN GARUT,78.51,POIN,2018
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,75.32,POIN,2018
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,78.95,POIN,2018
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,81.71,POIN,2018
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,79.48,POIN,2018
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,76.43,POIN,2018
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.22,POIN,2018
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,78.63,POIN,2018
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,79.88,POIN,2018
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.86,POIN,2018
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.71,POIN,2018
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,82.2,POIN,2018
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.05,POIN,2018
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,78.22,POIN,2018
235,32,JAWA BARAT,3271,KOTA BOGOR,81.86,POIN,2018
236,32,JAWA BARAT,3272,KOTA SUKABUMI,80.17,POIN,2018
237,32,JAWA BARAT,3273,KOTA BANDUNG,83.08,POIN,2018
238,32,JAWA BARAT,3274,KOTA CIREBON,79.98,POIN,2018
239,32,JAWA BARAT,3275,KOTA BEKASI,84.25,POIN,2018
240,32,JAWA BARAT,3276,KOTA DEPOK,83.34,POIN,2018
241,32,JAWA BARAT,3277,KOTA CIMAHI,82.69,POIN,2018
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,79.54,POIN,2018
243,32,JAWA BARAT,3279,KOTA BANJAR,77.83,POIN,2018
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,78.48,POIN,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,78.05,POIN,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,76.78,POIN,2019
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,82.15,POIN,2019
248,32,JAWA BARAT,3205,KABUPATEN GARUT,78.8,POIN,2019
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,75.71,POIN,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79.34,POIN,2019
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82.08,POIN,2019
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,79.72,POIN,2019
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,76.88,POIN,2019
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.45,POIN,2019
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,79.03,POIN,2019
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,80.2,POIN,2019
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,78.15,POIN,2019
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.97,POIN,2019
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,82.4,POIN,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.28,POIN,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,78.65,POIN,2019
262,32,JAWA BARAT,3271,KOTA BOGOR,82.17,POIN,2019
263,32,JAWA BARAT,3272,KOTA SUKABUMI,80.4,POIN,2019
264,32,JAWA BARAT,3273,KOTA BANDUNG,83.29,POIN,2019
265,32,JAWA BARAT,3274,KOTA CIREBON,80.2,POIN,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,84.45,POIN,2019
267,32,JAWA BARAT,3276,KOTA DEPOK,83.55,POIN,2019
268,32,JAWA BARAT,3277,KOTA CIMAHI,82.91,POIN,2019
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,79.89,POIN,2019
