,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jml_kelompok_pendidikan
175,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PAUD,0
177,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,TIDAK SEKOLAH,0
178,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SD,1
179,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SLTP,0
180,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SLTA,0
181,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PERGURUAN TINGGI,0
182,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,TK,0
183,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PAUD,0
185,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,TIDAK SEKOLAH,0
186,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SD,1
187,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SLTP,0
188,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SLTA,2
189,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PERGURUAN TINGGI,0
190,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,TK,1
191,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PAUD,0
193,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,TIDAK SEKOLAH,0
194,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SD,4
195,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SLTP,3
196,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SLTA,2
197,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PERGURUAN TINGGI,0
198,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,TK,0
